192.168.20.87:110
192.168.20.87:5060
192.168.20.87:22
10.204.2.4:443
10.204.2.4:22
10.204.2.4:5060
10.204.2.4:80
192.168.20.200:80
192.168.20.200:22
192.168.20.200:5060
10.204.2.4:80
10.204.2.4:5060
10.204.2.4:443
10.204.2.4:22
10.204.2.4:443
10.204.2.4:5060
192.168.20.60:5060
192.168.20.60:443
192.168.20.60:22
10.204.2.4:443
10.204.2.4:8080
10.204.2.4:80
10.204.2.4:5060
192.168.20.22:3389
192.168.20.22:80
192.168.20.22:636
10.61.0.4:8080
10.61.0.4:5060
192.168.20.93:5060
192.168.20.98:22
192.168.20.98:80
10.204.2.4:443
10.204.2.4:5060
10.204.2.4:8080
10.204.2.4:22
10.204.2.4:80
192.168.20.178:80
192.168.20.178:5060
192.168.20.178:22
192.168.20.160:443
192.168.20.160:3389
192.168.20.160:3306
192.168.20.160:5060
192.168.20.160:80
10.204.2.4:443
10.204.2.4:5060
10.204.2.4:22
10.204.2.4:22
10.204.2.4:80
10.204.2.4:443
10.204.2.4:5060
10.204.2.4:8080
10.204.2.4:22
10.204.2.4:8080
10.204.2.4:80
10.204.2.4:5060
10.204.2.4:22
10.204.2.4:443
192.168.20.97:5060
192.168.20.97:80
192.168.20.97:22
192.168.20.97:443
192.168.20.38:22
192.168.20.38:5060
192.168.20.38:443
192.168.20.38:80
192.168.20.35:3306
10.204.2.4:5060
10.204.2.4:80
10.204.2.4:8080
10.204.2.4:443
10.204.2.4:22
